a,character,columns
182056,9096,182630
182057,9253,182630
182058,9410,182630
182059,9567,182630
182060,9724,182630
182061,9881,182630
182062,10038,182630
182063,10195,182630
182064,10352,182630
182065,10509,182630
182066,10666,182630
182067,10823,182630
182068,10980,182630
182069,11137,182630
182070,11294,182630
182071,11451,182630
182072,11608,182630
182073,11765,182630
182074,11922,182630
182075,12079,182630
182076,12236,182630
182077,12393,182630
182078,12550,182630
182079,12707,182630
182080,12864,182630
182081,13021,182630
182082,13178,182630
182083,13335,182630
182084,13492,182630
182085,13649,182630
182086,20132,182643
182087,20266,182643
182088,18832,182643
182089,17326,182643
182090,17388,182643
182091,15774,182643
182092,15800,182643
182093,15826,182643
182094,15852,182643
182095,15878,182643
182096,15904,182643
182097,15930,182643
182098,15956,182643
182099,15982,182643
182100,16008,182643
182101,16161,182643
182102,16318,182643
182103,18194,182643
182104,18256,182643
182105,18318,182643
182106,18380,182643
182107,18442,182643
182108,18504,182643
182109,18566,182643
182110,18628,182643
182111,18690,182643
182112,18752,182643
182113,18814,182643
182114,18876,182643
182115,18938,182643
182116,19000,182643
182117,19062,182643
182118,19124,182643
182119,19186,182643
182120,19248,182643
182121,19310,182643
182122,19458,182643
182123,19615,182643
182124,19772,182643
182125,19929,182643
182126,20086,182643
182127,20243,182643
182128,20400,182643
182129,20557,182643
182130,20714,182643
182131,20871,182643
182132,23144,182638
182133,23242,182638
182134,23340,182638
182135,23438,182638
182136,23536,182638
182137,23634,182638
182138,23732,182638
182139,23830,182638
182140,23928,182638
182141,24026,182638
182142,24124,182638
182143,24222,182638
182144,24320,182638
182145,24418,182638
182146,24516,182638
182147,24614,182638
182148,24712,182638
182149,24810,182638
182150,24908,182638
182151,25006,182638
182152,25104,182638
182153,25202,182638
182154,25300,182638
182155,30896,182651
182156,30912,182651
182157,30928,182651
182158,30944,182651
182159,30960,182651
182160,30976,182651
182161,30992,182651
182162,31008,182651
182163,31024,182651
182164,31040,182651
182165,31056,182651
182166,31072,182651
182167,31088,182651
182168,31120,182651
182169,31254,182651
182170,31388,182651
182171,31522,182651
182172,31656,182651
182173,31790,182651
182174,31924,182651
182175,32058,182651
