y,count
19252,36254798
19253,42031779
19254,37282022
19255,42039571
19256,38471266
19257,43247765
19258,38329194
19259,44673084
19260,39343804
19261,44622223
19262,40761080
19263,45651483
19264,40827090
19265,47100119
19266,41796264
19267,47245511
19268,43065374
19269,48510689
19270,43044164
19271,49994381
19272,44277674
19273,49880328
19274,45804670
19275,51138085
19276,45715362
19277,52867982
19278,46805772
19279,52987342
19280,48299614
19281,54237034
19282,48412510
19283,55798284
19284,49741366
19285,55872455
19286,51263518
19287,57364159
19288,51141862
19289,59223434
19290,52445384
19291,59212677
19292,54284296
19293,60534609
19294,54351772
19295,62399347
19296,55644174
19297,62613588
19298,57283768
19299,64270458
19300,57293230
19301,66110925
19302,58881402
19303,66059098
19304,60840882
19305,67670632
19306,60803684
19307,69868404
19308,62146482
19309,70080944
19310,64104034
19311,71682541
19312,64299776
19313,73703232
19314,65989438
19315,73801050
19316,67953848
19317,75745135
19318,67845576
19319,78110992
19320,69555130
19321,78143306
19322,71845836
19323,79862273
19324,72011180
19325,82232773
19326,73673722
19327,82595553
19328,75770582
19329,84634498
19330,75857652
19331,87017714
19332,77878750
19333,87026908
19334,80407518
19335,89081830
19336,80361142
19337,91880426
19338,82128806
19339,92197443
19340,84626490
19341,94288511
19342,84916206
19343,96804467
19344,87093622
19345,97021239
19346,89593490
19347,99497031
19348,89572224
19349,102495423
19350,91671868
19351,102630273
19352,94616178
19353,104811757
19354,94907086
19355,107863798
19356,97036420
19357,108298622
19358,99721526
19359,110936701
19360,99893322
19361,113976487
19362,102504906
19363,114059020
19364,105628208
19365,116682684
19366,105693730
19367,120224306
19368,107965438
19369,120739209
19370,111127540
19371,123312865
19372,111576094
19373,126554309
19374,114332174
19375,126927445
19376,117556058
19377,130044394
19378,117527544
19379,133843657
19380,120264602
19381,134093788
19382,123997270
19383,136912724
19384,124424880
19385,140676958
19386,127148946
19387,141369522
19388,130559244
19389,144714206
19390,130904144
19391,148542856
19392,134124186
19393,148760881
19394,138119812
19395,152088646
19396,138301400
19397,156590028
19398,141181688
19399,157231946
19400,145211486
19401,160545948
19402,145852840
19403,164661925
19404,149379600
19405,165203568
19406,153365408
19407,169155680
19408,153509508
19409,173920451
19410,156975574
19411,174401878
19412,161652102
19413,177883170
19414,162315840
19415,182680259
19416,165764228
19417,183633988
19418,170127724
19419,187841690
19420,170563802
19421,192706174
19422,174670284
19423,193083454
19424,179719280
19425,197326047
19426,180058644
19427,202862907
19428,183733698
19429,203834324
19430,188781470
19431,208038901
19432,189764878
19433,213195414
19434,194097578
19435,214024511
19436,199180264
19437,218970817
19438,199488928
19439,225014106
19440,203858440
19441,225613135
19442,209758904
19443,230074385
19444,210683450
19445,236110714
19446,215098168
19447,237423094
19448,220470778
19449,242700673
19450,221215804
19451,248786542
19452,226402516
19453,249483857
19454,232699054
19455,254687617
19456,233284772
19457,261669855
19458,237928108
19459,263032108
19460,244327118
19461,268290434
19462,245529616
19463,274794034
19464,251052538
19465,275959937
19466,257458000
19467,282200155
19468,257985504
19469,289607591
19470,263490304
19471,290608836
19472,270848444
19473,296224934
19474,272209352
19475,303742160
19476,277632620
19477,305538280
19478,284448164
19479,312139862
19480,285558532
19481,319804440
19482,292000374
19483,320706822
19484,299898112
19485,327302769
19486,300799318
19487,336013211
19488,306709024
19489,337814089
19490,314556012
19491,344453013
19492,316300156
19493,352554437
19494,323201076
19495,354246179
19496,331184576
19497,361879387
19498,332074124
19499,371190661
19500,338935926
19501,372627216
19502,348172862
19503,379632697
19504,349889602
19505,389021752
19506,356759530
19507,391408313
19508,365285630
19509,399707895
19510,366831994
19511,409082475
19512,374922148
19513,410492136
19514,384713904
19515,418728295
19516,386120874
19517,429506908
19518,393341452
19519,431985618
19520,403214244
19521,440214981
19522,405567984
19523,450402782
19524,414143608
19525,452537863
19526,424102228
19527,462099403
19528,425420330
19529,473639445
19530,434078350
19531,475645246
19532,445336718
19533,484416387
19534,447749594
19535,496034395
19536,456375270
19537,499252287
19538,466965506
19539,509343357
19540,469134894
19541,521095192
19542,479133448
19543,523144094
19544,491366410
19545,533310299
19546,493167106
19547,546661891
19548,502283772
19549,549927133
19550,514529092
19551,560274296
19552,517628878
19553,572677222
19554,528302676
19555,575673569
19556,540646824
19557,587534249
19558,542632696
19559,601738439
19560,553176952
19561,604500181
19562,567217968
19563,615373379
19564,570487620
19565,629823616
19566,581117080
19567,633841123
19568,594303620
19569,646427026
19570,597230348
19571,660961055
19572,609697950
19573,663720999
19574,624567346
19575,676379105
19576,627222228
19577,692774018
19578,638556910
19579,697176701
19580,653626190
19581,709740476
19582,657763878
19583,725193020
19584,670933878
19585,729184060
19586,686283658
19587,743751556
19588,688838094
19589,761284911
19590,702008974
19591,764974670
19592,719303632
19593,778514196
19594,723553194
19595,796077200
19596,736804084
19597,801416568
19598,753033392
19599,816921177
19600,757083568
19601,834772897
19602,772179868
19603,838604863
19604,790587594
19605,854141851
19606,794215228
19607,874381191
19608,808233026
19609,879823307
19610,826814542
19611,895467746
19612,832161274
19613,914500148
19614,848478546
19615,919701070
19616,867133926
19617,937604830
19618,870801432
19619,959069601
19620,887051976
19621,964101229
19622,908207426
19623,980527456
19624,913841038
19625,1002155025
19626,930116208
19627,1009091330
19628,950202012
19629,1028082227
19630,955240956
19631,1050027682
19632,973944604
19633,1055063031
19634,996551232
19635,1074287577
19636,1001333688
19637,1098731174
19638,1018617742
19639,1105932814
19640,1041404286
19641,1125157031
19642,1048469448
19643,1148394593
19644,1068178414
19645,1155236466
19646,1091189056
19647,1177111256
19648,1096191326
19649,1203420023
19650,1116062262
19651,1209717477
19652,1141981112
19653,1230069125
19654,1149178872
19655,1256568322
19656,1169341212
19657,1265293513
19658,1193627008
19659,1288571520
19660,1200421536
19661,1315357687
19662,1223295536
19663,1322176172
19664,1250811536
19665,1345303684
19666,1257244464
19667,1375269586
19668,1278448146
19669,1384478606
19670,1306372554
19671,1407925273
19672,1315094902
19673,1436399508
19674,1339372820
19675,1445168487
19676,1367499954
19677,1471964006
19678,1374034542
19679,1503669434
19680,1398442280
19681,1512021152
19682,1429908058
19683,1536931505
19684,1439339092
19685,1569101338
19686,1463642796
19687,1580290322
19688,1493486630
19689,1608550873
19690,1502288234
19691,1641318804
19692,1530109150
19693,1649791625
19694,1563671336
19695,1678191298
19696,1572015686
19697,1714569124
19698,1598065094
19699,1726229694
19700,1631697194
19701,1754890966
19702,1642958774
19703,1789451903
19704,1672581454
19705,1800800888
19706,1706734614
19707,1833005825
19708,1715383452
19709,1871617439
19710,1745010168
19711,1882433209
19712,1783417010
19713,1912655614
19714,1794995576
19715,1951762181
19716,1824819286
19717,1965785270
19718,1861181370
19719,2000276773
19720,1872401084
19721,2039573007
19722,1906241836
19723,2050759738
19724,1946824196
19725,2085305246
19726,1957765984
19727,2129192922
19728,1989136882
19729,2143925707
19730,2030129026
19731,2178702830
19732,2044409086
19733,2220821508
19734,2080161518
19735,2234766600
19736,2121715652
19737,2273903537
19738,2132861902
19739,2320650791
19740,2169042554
19741,2334303455
19742,2214944366
19743,2371111697
19744,2229904728
19745,2418258592
19746,2266164512
19747,2436031454
19748,2310059582
19749,2477286371
19750,2324409720
19751,2525089881
19752,2365349652
19753,2539313289
19754,2414573288
19755,2580981866
19756,2428085588
19757,2634029305
19758,2466344162
19759,2652462882
19760,2515924504
19761,2694680296
19762,2533722858
19763,2745077325
