v,count
1368,12171055
1369,10518220
1370,11798887
1371,10362684
1372,12525535
1373,10102486
1374,12384106
1375,10739188
1376,12006916
1377,10746736
1378,12719831
1379,10253618
1380,12765466
1381,10949220
1382,12316990
1383,10872660
1384,13026920
1385,10609772
1386,12920342
1387,11223478
1388,12557185
1389,11180748
1390,13333172
1391,10684274
1392,13329083
1393,11488648
1394,12813473
1395,11391936
1396,13567311
1397,11082806
1398,13527188
1399,11665084
1400,13186494
1401,11642342
1402,13896992
1403,11196886
1404,13859781
1405,12046618
1406,13335743
1407,11919262
1408,14191216
1409,11509062
1410,14163922
1411,12145764
1412,13758651
1413,12191880
1414,14461011
1415,11746612
1416,14404930
1417,12568306
1418,13952660
1419,12386178
1420,14855691
1421,11992762
1422,14783570
1423,12692174
1424,14291391
1425,12777000
1426,15036650
1427,12255564
1428,15083254
1429,13061002
1430,14594386
1431,12881498
1432,15481006
1433,12556178
1434,15343374
1435,13319642
1436,14866088
1437,13309342
1438,15705449
1439,12726420
1440,15784352
1441,13574542
1442,15234947
1443,13481308
1444,16051502
1445,13146078
1446,15948459
1447,13880410
1448,15534023
1449,13838818
1450,16430655
1451,13213564
1452,16437984
1453,14189608
1454,15805095
1455,14108626
1456,16704241
1457,13704232
1458,16641096
1459,14398562
1460,16240024
1461,14382478
1462,17101818
1463,13842568
1464,17056869
1465,14819162
1466,16418374
1467,14698654
1468,17429768
1469,14219946
1470,17410382
1471,14957942
1472,16890612
1473,15020600
1474,17735549
1475,14480268
1476,17710996
1477,15455656
1478,17135580
1479,15226706
1480,18203351
1481,14761514
1482,18119419
1483,15613760
1484,17534870
1485,15709908
1486,18383888
1487,15075898
1488,18473955
1489,16019538
1490,17896710
1491,15828354
1492,18932967
1493,15395756
1494,18775519
1495,16317068
1496,18199023
1497,16342814
1498,19189674
1499,15626656
1500,19265276
1501,16612912
1502,18614771
1503,16520420
1504,19606334
1505,16111332
1506,19481496
1507,16950026
1508,18970459
1509,16929788
1510,20019005
1511,16209328
1512,20048598
1513,17337232
1514,19251167
1515,17248376
1516,20329128
1517,16757084
1518,20295855
1519,17580096
1520,19795046
1521,17537172
1522,20790827
1523,16904752
1524,20760105
1525,18081524
1526,19992298
1527,17930416
1528,21151491
1529,17343472
1530,21160723
1531,18219286
1532,20563855
1533,18309632
1534,21519943
1535,17623290
1536,21506068
1537,18785120
1538,20812177
1539,18568444
1540,22066497
1541,17980676
1542,21946124
1543,18975440
1544,21274381
1545,19090696
1546,22289736
1547,18340954
1548,22390310
1549,19408762
1550,21690915
1551,19228272
1552,22906838
1553,18724954
1554,22734698
1555,19782552
1556,22006516
1557,19825704
1558,23180803
1559,18970212
1560,23317708
1561,20125920
1562,22512864
1563,20002366
1564,23668898
1565,19529928
1566,23530806
1567,20530714
1568,22925381
1569,20498966
1570,24107446
1571,19638800
1572,24188037
1573,20946358
1574,23265005
1575,20865112
1576,24505121
1577,20234016
1578,24467491
1579,21217826
1580,23864029
1581,21208834
1582,25022461
1583,20446228
1584,24974549
1585,21803558
1586,24072994
1587,21646324
1588,25454670
1589,20942516
1590,25454558
1591,21929730
1592,24735249
1593,22066126
1594,25844146
1595,21287766
1596,25859811
1597,22607446
1598,24990553
1599,22359622
1600,26465960
1601,21658466
1602,26378120
1603,22823188
1604,25554319
1605,22939362
1606,26716015
1607,22069084
1608,26855113
1609,23340660
1610,26023377
1611,23123780
1612,27390209
1613,22511838
1614,27225408
1615,23741098
1616,26413368
1617,23804534
1618,27734767
1619,22757810
1620,27906763
1621,24117684
1622,26948840
1623,24032576
1624,28297107
1625,23422314
1626,28104780
1627,24585422
1628,27419067
1629,24567320
1630,28810486
1631,23553932
1632,28896244
1633,25014418
1634,27798766
1635,24974538
1636,29228505
1637,24258072
1638,29205131
1639,25369092
1640,28451290
1641,25367598
1642,29807784
1643,24466910
1644,29800364
1645,26033724
1646,28710442
1647,25828146
1648,30304662
1649,25021224
1650,30319846
1651,26196276
1652,29470815
1653,26339452
1654,30698170
1655,25414162
1656,30777669
1657,26926206
1658,29776578
1659,26672238
1660,31450095
1661,25804860
1662,31352643
1663,27171272
1664,30386193
1665,27345208
1666,31717035
1667,26308598
1668,31862240
1669,27757022
1670,30896729
1671,27527898
1672,32510772
1673,26805038
1674,32314034
1675,28175988
1676,31348838
1677,28286486
1678,32857368
1679,27105706
1680,33085168
1681,28630202
1682,31917801
1683,28545616
1684,33490201
1685,27820890
1686,33325268
1687,29165230
1688,32482358
1689,29112114
1690,34060442
1691,27958000
1692,34182399
1693,29677460
1694,32902404
1695,29625194
1696,34496499
1697,28759224
1698,34507444
1699,30030348
1700,33677538
1701,30055762
1702,35181126
1703,28950392
1704,35197485
1705,30764164
1706,33924233
1707,30599500
1708,35752566
1709,29610642
1710,35728255
1711,30950858
1712,34772714
1713,31135514
1714,36205106
1715,30069568
1716,36278108
1717,31743034
1718,35102192
1719,31507398
1720,37017031
1721,30520356
1722,36924357
1723,32053408
1724,35747291
1725,32258334
1726,37296835
1727,31055808
1728,37537887
1729,32699228
1730,36366500
1731,32418812
1732,38192471
1733,31600460
1734,37987548
1735,33199450
1736,36871579
1737,33308874
1738,38532261
1739,31944938
1740,38847420
1741,33680586
1742,37520739
1743,33596236
1744,39282695
1745,32697290
1746,39106124
1747,34263914
1748,38125535
1749,34265450
1750,39910923
1751,32893872
1752,40036966
1753,34826710
1754,38574798
1755,34793568
1756,40430464
1757,33782958
1758,40428882
1759,35186058
1760,39455185
1761,35256282
1762,41147860
1763,34034048
1764,41194731
1765,36050044
1766,39665665
1767,35880226
1768,41770396
1769,34718792
1770,41810790
1771,36257104
1772,40669698
1773,36434630
1774,42266931
1775,35226400
1776,42380293
1777,37158232
1778,41027941
1779,36877064
1780,43141024
1781,35727690
1782,43082576
1783,37466024
1784,41782905
1785,37723334
1786,43487217
1787,36271046
1788,43768904
1789,38164772
1790,42407367
1791,37930498
1792,44492450
1793,36927130
1794,44217808
1795,38729144
1796,42964191
1797,38870572
1798,44873614
1799,37317700
1800,45221957
1801,39201958
1802,43676707
1803,39188302
1804,45672422
1805,38188164
1806,45493514
1807,39907528
1808,44305184
1809,39906830
1810,46352562
1811,38349152
